119,王国的童话,萝莉好评 话说那不是萝莉吧？
118,罪先生,上帝保佑美国中所有插曲原声希望能帮到大家
http://yun.baidu.com/pcloud/album/info?query_uk=822599773&amp;album_id=2985066564696430577
117,闲者Nyanya,果然这种题材会引来各种撕逼 果断缓存转格式用本地看的我真是太机智了(｡･ω･｡)
116,艹凡大师,越战是什么鬼。。
114,DawnStream,***保智商系列
113,骑狗的熊孩子,老一代和新一代 我们很长不是呢 比起老一代我很自私和无耻
112,骑狗的熊孩子,啊哈哈朋友说笑呢
111,穿月,好赞好赞，真心好看
110,1024丶草榴,说好的喜剧呢
109,妖耳,BGM一直在车里的U盘里
108,墨蕭丶,23333333333333   真心值得国人反思 现象
107,单调的东流水,不知道这片在中国上映了没有 绝对值得在国内上映啊
106,单调的东流水,哈哈哈哈(｀・ω・´)
105,深濑黑,谁有空干脆整理一下这部的BGM吧，感觉都挺赞的，虽然没怎么看剧情。。

104,paddy丶,喜剧的核心总是悲剧。
103,呆呆文,我感觉这电影有勇气来指斥社会上的那些怪现象 这一点 很勇敢
102,瞎喵,其实想表达的是早前有人投稿了，现在又有投了一次，就换个名字。
101,姜尼诺,我的萝莉::&gt;_&lt;::
100,此时无码胜有码,这个故事好冷哈。
99,5566爹,99(｡･ω･｡)ﾉ♡
98,嘟丶嗨嗨,(●￣(ｴ)￣●)
97,我是你文,beat the devils tatoo
96,舞楼,所谓的评论家，其实也很超现实（￣▽￣）
95,剑君小十,萝莉确实很漂亮啊'原谅关注重点不对'
94,阿再啊,有人有这部剧的BJM的名字吗？
93,跳҉蚤҉,但问题是B站有星战第五部而且还有好几个撞车的视频，就是没有其它那几部
92,领导专用司机,公民合法拥有枪支并不是错误，这一点请铭记。
91,Abigor,这……有人投过然而被删了
90,晨运后的早餐,不用想什么隐喻，看的爽就行了
89,TomoeKasura,何止第二次←_←
88,水月暗夜,在内地，这部片名可以叫天佑美利坚，也可以叫上帝保佑美国，都行，译名看自己怎么理解英文了(;¬_¬)
